"","religion","income","freq"
"522"," Roman Catholic ",">150k",633
"523"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ",">150k",42
"524"," Orthodox (Greek, Russian, or some other orthodox church) ",">150k",46
"525"," Jewish (Judaism) ",">150k",151
"526"," Muslim (Islam) ",">150k",6
"527"," Buddhist ",">150k",53
"528"," Hindu ",">150k",54
"529"," Atheist (do not believe in God) ",">150k",74
"530"," Agnostic (not sure if there is a God) ",">150k",84
"531"," Nothing in particular ",">150k",258
"532"," Christian (VOL) ",">150k",39
"533"," Unitarian (Universalist) (VOL) ",">150k",21
"534"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ",">150k",0
"535"," Mixed Christian and non-Christian (VOL) ",">150k",5
"536"," Messianic Jews (Jews for Jesus) (VOL) ",">150k",0
"537"," Mixed non-Christians (VOL) ",">150k",0
"538"," Hebrew Israelite/African Hebrew Israelites (VOL) ",">150k",0
"539"," Bahai (VOL) ",">150k",2
"540"," Native American Religions (VOL) ",">150k",1
"541"," Shinto (VOL) ",">150k",0
"542"," Tao (VOL) ",">150k",1
"543"," Rastafarian (VOL) ",">150k",0
"544"," Sikh (VOL) ",">150k",0
"545"," Zoroastrianism (VOL) ",">150k",1
"546"," Siddhayoga (VOL) ",">150k",0
"547"," New Age (VOL) ",">150k",0
"548"," Wica (Wiccan) (VOL) ",">150k",1
"549"," Pagan (VOL) ",">150k",1
"550"," Humanist (VOL) ",">150k",0
"551"," Scientology (VOL) ",">150k",1
"552"," Deist (VOL) ",">150k",1
"553"," Eclectic, a bit of everything, own beliefs (VOL) ",">150k",4
"554"," New Thought (VOL) ",">150k",0
"555"," Theosophy (VOL) ",">150k",0
"556"," Pantheist (VOL) ",">150k",2
"557"," Spiritual but not religious (VOL) ",">150k",6
"558"," Liberal faith (VOL) ",">150k",2
"559"," Asatru (Old Norse form of Paganism) (VOL) ",">150k",0
"560"," Druid (VOL) ",">150k",0
"561"," Transcendental meditation/Meditation (VOL) ",">150k",1
"562"," Shamanism (non-Western) (VOL) ",">150k",0
"563"," Eckankar (VOL) ",">150k",0
"564"," Self realization (VOL) ",">150k",0
"565"," Satanism (VOL) ",">150k",0
"566"," Animism (VOL) ",">150k",0
"567"," New Apostolic Church (VOL) ",">150k",0
"568"," Nihilist (VOL) ",">150k",0
"569"," Armenian Catholic (VOL) ",">150k",0
"570"," Greek rite Catholic (VOL) ",">150k",0
"571"," Maronite Catholic (VOL) ",">150k",0
"572"," National Catholic; Polish National Catholic (VOL) ",">150k",0
"573"," Old Catholic (VOL) ",">150k",0
"574"," Not Interpretable ",">150k",3
"575"," Don’t know/Refused (VOL) ",">150k",15
"576"," Christian Scientists (VOL) ",">150k",3
"577"," Religious science (VOL) ",">150k",1
"578"," Spiritualist (VOL) ",">150k",1
"579"," Unity; Unity Church Christ Church Unity (VOL) ",">150k",1
"580"," Metaphysical (VOL) ",">150k",1
"581"," Indian Shaker Church (VOL) ",">150k",0
"582"," Unification Church (Moonies) (VOL) ",">150k",0
"583"," Jehovah’s Witness (VOL) ",">150k",6
"584"," International Bible Students (VOL) ",">150k",0
"585"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ",">150k",0
"586"," Protestant ","Don't know/refused",3041
"587"," Roman Catholic ","Don't know/refused",1487
"588"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","Don't know/refused",69
"589"," Orthodox (Greek, Russian, or some other orthodox church) ","Don't know/refused",73
"590"," Jewish (Judaism) ","Don't know/refused",162
"591"," Muslim (Islam) ","Don't know/refused",22
"592"," Buddhist ","Don't know/refused",54
"593"," Hindu ","Don't know/refused",37
"594"," Atheist (do not believe in God) ","Don't know/refused",76
"595"," Agnostic (not sure if there is a God) ","Don't know/refused",96
"596"," Nothing in particular ","Don't know/refused",597
"597"," Christian (VOL) ","Don't know/refused",155
"598"," Unitarian (Universalist) (VOL) ","Don't know/refused",27
"599"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","Don't know/refused",1
"600"," Mixed Christian and non-Christian (VOL) ","Don't know/refused",1
"601"," Messianic Jews (Jews for Jesus) (VOL) ","Don't know/refused",0
"602"," Mixed non-Christians (VOL) ","Don't know/refused",1
"603"," Hebrew Israelite/African Hebrew Israelites (VOL) ","Don't know/refused",0
"604"," Bahai (VOL) ","Don't know/refused",0
"605"," Native American Religions (VOL) ","Don't know/refused",5
"606"," Shinto (VOL) ","Don't know/refused",1
"607"," Tao (VOL) ","Don't know/refused",0
"608"," Rastafarian (VOL) ","Don't know/refused",1
"609"," Sikh (VOL) ","Don't know/refused",1
"610"," Zoroastrianism (VOL) ","Don't know/refused",2
"611"," Siddhayoga (VOL) ","Don't know/refused",1
"612"," New Age (VOL) ","Don't know/refused",0
"613"," Wica (Wiccan) (VOL) ","Don't know/refused",4
"614"," Pagan (VOL) ","Don't know/refused",4
"615"," Humanist (VOL) ","Don't know/refused",1
"616"," Scientology (VOL) ","Don't know/refused",0
"617"," Deist (VOL) ","Don't know/refused",3
"618"," Eclectic, a bit of everything, own beliefs (VOL) ","Don't know/refused",7
"619"," New Thought (VOL) ","Don't know/refused",0
"620"," Theosophy (VOL) ","Don't know/refused",0
"621"," Pantheist (VOL) ","Don't know/refused",1
"622"," Spiritual but not religious (VOL) ","Don't know/refused",8
"623"," Liberal faith (VOL) ","Don't know/refused",7
"624"," Asatru (Old Norse form of Paganism) (VOL) ","Don't know/refused",0
"625"," Druid (VOL) ","Don't know/refused",2
"626"," Transcendental meditation/Meditation (VOL) ","Don't know/refused",0
"627"," Shamanism (non-Western) (VOL) ","Don't know/refused",1
"628"," Eckankar (VOL) ","Don't know/refused",1
"629"," Self realization (VOL) ","Don't know/refused",1
"630"," Satanism (VOL) ","Don't know/refused",0
"631"," Animism (VOL) ","Don't know/refused",0
"632"," New Apostolic Church (VOL) ","Don't know/refused",0
"633"," Nihilist (VOL) ","Don't know/refused",0
"634"," Armenian Catholic (VOL) ","Don't know/refused",0
"635"," Greek rite Catholic (VOL) ","Don't know/refused",1
"636"," Maronite Catholic (VOL) ","Don't know/refused",0
"637"," National Catholic; Polish National Catholic (VOL) ","Don't know/refused",1
"638"," Old Catholic (VOL) ","Don't know/refused",0
"639"," Not Interpretable ","Don't know/refused",1
"640"," Don’t know/Refused (VOL) ","Don't know/refused",115
"641"," Christian Scientists (VOL) ","Don't know/refused",3
"642"," Religious science (VOL) ","Don't know/refused",3
"643"," Spiritualist (VOL) ","Don't know/refused",2
"644"," Unity; Unity Church Christ Church Unity (VOL) ","Don't know/refused",4
"645"," Metaphysical (VOL) ","Don't know/refused",3
"646"," Indian Shaker Church (VOL) ","Don't know/refused",0
"647"," Unification Church (Moonies) (VOL) ","Don't know/refused",0
"648"," Jehovah’s Witness (VOL) ","Don't know/refused",36
"649"," International Bible Students (VOL) ","Don't know/refused",1
"650"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","Don't know/refused",1
